"purchase_date","promo_code","promo_ratio","total_price","sales_after_promo"
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",420000,415000
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",38000,33000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",88920,88920
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",199000,194000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",36800,36800
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",46400,41400
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",239700,234700
"2022-07-02","TANPA_PROMO","TANPA_PROMO",88000,88000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",101000,101000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",168300,168300
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",187200,182200
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",338000,333000
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",39000,34000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",25866,25866
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",69000,64000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",114000,114000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",119900,119900
"2022-07-02","GRATIS_ONGKIR","APPLY_PROMO",27600,22600
"2022-07-02","TANPA_PROMO","TANPA_PROMO",194000,194000
"2022-07-02","TANPA_PROMO","TANPA_PROMO",215100,215100
"2022-07-03","TANPA_PROMO","TANPA_PROMO",19500,19500
"2022-07-03","TANPA_PROMO","TANPA_PROMO",202710,202710
"2022-07-03","TANPA_PROMO","TANPA_PROMO",90000,90000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",465000,460000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",1670,-3330
"2022-07-03","TANPA_PROMO","TANPA_PROMO",278000,278000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",66900,66900
"2022-07-03","TANPA_PROMO","TANPA_PROMO",60000,60000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",37990,32990
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",228000,223000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",490000,485000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",825000,825000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",105000,105000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",310000,310000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",128000,128000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",370000,365000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",1245000,1240000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",699000,694000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",101000,96000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",435000,430000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",327000,327000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",151500,151500
"2022-07-03","TANPA_PROMO","TANPA_PROMO",231000,231000
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",62000,57000
"2022-07-03","TANPA_PROMO","TANPA_PROMO",30999,30999
"2022-07-03","GRATIS_ONGKIR","APPLY_PROMO",374700,369700
"2022-07-04","TANPA_PROMO","TANPA_PROMO",104000,104000
"2022-07-04","TANPA_PROMO","TANPA_PROMO",436000,436000
"2022-07-04","TANPA_PROMO","TANPA_PROMO",194700,194700
"2022-07-04","TANPA_PROMO","TANPA_PROMO",130000,130000
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",159000,154000
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",375000,370000
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",387600,382600
"2022-07-04","TANPA_PROMO","TANPA_PROMO",2380,2380
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",130000,125000
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",1050,-3950
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",3340,-1660
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",253935,248935
"2022-07-04","TANPA_PROMO","TANPA_PROMO",837000,837000
"2022-07-04","TANPA_PROMO","TANPA_PROMO",260000,260000
"2022-07-04","GRATIS_ONGKIR","APPLY_PROMO",555000,550000
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",110000,105000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",292500,292500
"2022-07-05","TANPA_PROMO","TANPA_PROMO",97500,97500
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",164700,159700
"2022-07-05","TANPA_PROMO","TANPA_PROMO",75999,75999
"2022-07-05","TANPA_PROMO","TANPA_PROMO",485997,485997
"2022-07-05","TANPA_PROMO","TANPA_PROMO",384000,384000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",269000,269000
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",2097000,2092000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",72000,72000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",100000,100000
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",13135,8135
"2022-07-05","TANPA_PROMO","TANPA_PROMO",1415000,1415000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",85000,85000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",95800,95800
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",159800,154800
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",119600,114600
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",435998,430998
"2022-07-05","TANPA_PROMO","TANPA_PROMO",43000,43000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",94000,94000
"2022-07-05","GRATIS_ONGKIR","APPLY_PROMO",185000,180000
"2022-07-05","TANPA_PROMO","TANPA_PROMO",169000,169000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",139000,139000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",4977000,4972000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",162500,157500
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",25500,20500
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",86000,81000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",65172,60172
"2022-07-06","TANPA_PROMO","TANPA_PROMO",131000,131000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",69642,64642
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",220000,215000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",169000,169000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",25260,20260
"2022-07-06","TANPA_PROMO","TANPA_PROMO",493000,493000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",128000,123000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",224850,219850
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",109000,104000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",279000,274000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",39500,39500
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",478800,473800
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",157500,152500
"2022-07-06","TANPA_PROMO","TANPA_PROMO",200000,200000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",62000,62000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",267000,267000
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",179997,174997
"2022-07-06","GRATIS_ONGKIR","APPLY_PROMO",237000,232000
"2022-07-06","TANPA_PROMO","TANPA_PROMO",55550,55550
"2022-07-07","TANPA_PROMO","TANPA_PROMO",55000,55000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",99000,94000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",55365,50365
"2022-07-07","TANPA_PROMO","TANPA_PROMO",106000,106000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",75000,70000
"2022-07-07","TANPA_PROMO","TANPA_PROMO",49875,49875
"2022-07-07","TANPA_PROMO","TANPA_PROMO",58275,58275
"2022-07-07","TANPA_PROMO","TANPA_PROMO",260000,260000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",135290,130290
"2022-07-07","TANPA_PROMO","TANPA_PROMO",91800,91800
"2022-07-07","TANPA_PROMO","TANPA_PROMO",35200,35200
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",650000,645000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",142000,137000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",231750,226750
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",198000,193000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",129500,124500
"2022-07-07","TANPA_PROMO","TANPA_PROMO",30000,30000
"2022-07-07","TANPA_PROMO","TANPA_PROMO",128040,128040
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",145360,140360
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",189000,184000
"2022-07-07","GRATIS_ONGKIR","APPLY_PROMO",296907,291907
"2022-07-07","TANPA_PROMO","TANPA_PROMO",6600,6600
"2022-07-07","TANPA_PROMO","TANPA_PROMO",137776,137776
"2022-07-07","TANPA_PROMO","TANPA_PROMO",195000,195000
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",25260,20260
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",780000,775000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",111100,111100
"2022-07-08","TANPA_PROMO","TANPA_PROMO",59700,59700
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",300000,295000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",415000,415000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",318000,318000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",1350000,1350000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",94000,94000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",326250,326250
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",26000,21000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",75999,75999
"2022-07-08","TANPA_PROMO","TANPA_PROMO",435998,435998
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",405000,400000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",68700,68700
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",338000,333000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",66000,66000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",121000,121000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",747000,747000
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",400000,395000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",202710,202710
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",110000,105000
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",550000,545000
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",420000,415000
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",6600,1600
"2022-07-08","GRATIS_ONGKIR","APPLY_PROMO",49000,44000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",145000,145000
"2022-07-08","TANPA_PROMO","TANPA_PROMO",207800,207800
"2022-07-08","TANPA_PROMO","TANPA_PROMO",21500,21500
"2022-07-08","TANPA_PROMO","TANPA_PROMO",315000,315000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",30999,25999
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",91800,86800
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",68000,63000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",236370,236370
"2022-07-09","TANPA_PROMO","TANPA_PROMO",229000,229000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",78000,78000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",300000,300000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",3980000,3975000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",260000,260000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",120000,115000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",290982,285982
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",472500,467500
"2022-07-09","TANPA_PROMO","TANPA_PROMO",265500,265500
"2022-07-09","TANPA_PROMO","TANPA_PROMO",440000,440000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",85320,85320
"2022-07-09","TANPA_PROMO","TANPA_PROMO",197500,197500
"2022-07-09","TANPA_PROMO","TANPA_PROMO",35000,35000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",278500,278500
"2022-07-09","TANPA_PROMO","TANPA_PROMO",458000,458000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",389700,389700
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",116000,111000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",716000,711000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",290000,285000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",296907,291907
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",5970000,5965000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",1670,1670
"2022-07-09","TANPA_PROMO","TANPA_PROMO",53776,53776
"2022-07-09","TANPA_PROMO","TANPA_PROMO",693000,693000
"2022-07-09","TANPA_PROMO","TANPA_PROMO",64020,64020
"2022-07-09","TANPA_PROMO","TANPA_PROMO",192060,192060
"2022-07-09","TANPA_PROMO","TANPA_PROMO",3700,3700
"2022-07-09","TANPA_PROMO","TANPA_PROMO",49400,49400
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",56900,51900
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",599997,594997
"2022-07-09","TANPA_PROMO","TANPA_PROMO",345000,345000
"2022-07-09","GRATIS_ONGKIR","APPLY_PROMO",169000,164000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",119700,114700
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",8550000,8545000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",122052,122052
"2022-07-10","TANPA_PROMO","TANPA_PROMO",379800,379800
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",415000,410000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",156000,151000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",91800,91800
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",30600,25600
"2022-07-10","TANPA_PROMO","TANPA_PROMO",22900,22900
"2022-07-10","TANPA_PROMO","TANPA_PROMO",100000,100000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",39800,39800
"2022-07-10","TANPA_PROMO","TANPA_PROMO",534966,534966
"2022-07-10","TANPA_PROMO","TANPA_PROMO",2800,2800
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",780000,775000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",348750,348750
"2022-07-10","TANPA_PROMO","TANPA_PROMO",480000,480000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",64000,59000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",67570,67570
"2022-07-10","TANPA_PROMO","TANPA_PROMO",200000,200000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",208000,203000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",25000,25000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",750000,745000
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",440000,435000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",8760000,8760000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",66686,66686
"2022-07-10","GRATIS_ONGKIR","APPLY_PROMO",94500,89500
"2022-07-10","TANPA_PROMO","TANPA_PROMO",228000,228000
"2022-07-10","TANPA_PROMO","TANPA_PROMO",24900,24900
"2022-07-10","TANPA_PROMO","TANPA_PROMO",290000,290000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",135290,130290
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",292500,287500
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",387600,382600
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",227700,222700
"2022-07-11","TANPA_PROMO","TANPA_PROMO",1437000,1437000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",569700,564700
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",124800,119800
"2022-07-11","TANPA_PROMO","TANPA_PROMO",120000,120000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",337500,332500
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",256000,251000
"2022-07-11","TANPA_PROMO","TANPA_PROMO",81000,81000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",808275,803275
"2022-07-11","TANPA_PROMO","TANPA_PROMO",78002,78002
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",157500,152500
"2022-07-11","TANPA_PROMO","TANPA_PROMO",165000,165000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",110000,105000
"2022-07-11","TANPA_PROMO","TANPA_PROMO",449700,449700
"2022-07-11","TANPA_PROMO","TANPA_PROMO",1350000,1350000
"2022-07-11","TANPA_PROMO","TANPA_PROMO",175000,175000
"2022-07-11","TANPA_PROMO","TANPA_PROMO",65000,65000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",137776,132776
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",124900,119900
"2022-07-11","TANPA_PROMO","TANPA_PROMO",113970,113970
"2022-07-11","TANPA_PROMO","TANPA_PROMO",23214,23214
"2022-07-11","TANPA_PROMO","TANPA_PROMO",480000,480000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",39800,34800
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",68888,63888
"2022-07-11","TANPA_PROMO","TANPA_PROMO",45900,45900
"2022-07-11","TANPA_PROMO","TANPA_PROMO",1128000,1128000
"2022-07-11","GRATIS_ONGKIR","APPLY_PROMO",186000,181000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",155000,155000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",399998,394998
"2022-07-12","TANPA_PROMO","TANPA_PROMO",125100,125100
"2022-07-12","TANPA_PROMO","TANPA_PROMO",66000,66000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",110925,110925
"2022-07-12","TANPA_PROMO","TANPA_PROMO",8550000,8550000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",537000,537000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",510150,510150
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",70000,65000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",80000,80000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",35200,30200
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",471750,466750
"2022-07-12","TANPA_PROMO","TANPA_PROMO",9900,9900
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",175000,170000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",39900,39900
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",27600,22600
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",159000,154000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",128000,123000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",279000,279000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",1415000,1410000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",55000,50000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",239850,234850
"2022-07-12","TANPA_PROMO","TANPA_PROMO",105000,105000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",220000,220000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",300000,295000
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",84150,79150
"2022-07-12","GRATIS_ONGKIR","APPLY_PROMO",159000,154000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",110000,110000
"2022-07-12","TANPA_PROMO","TANPA_PROMO",1125000,1125000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",65000,65000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",50000,45000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",36800,36800
"2022-07-13","TANPA_PROMO","TANPA_PROMO",50000,50000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",260000,260000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",2250000,2245000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",39900,39900
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",57500,52500
"2022-07-13","TANPA_PROMO","TANPA_PROMO",143400,143400
"2022-07-13","TANPA_PROMO","TANPA_PROMO",299300,299300
"2022-07-13","TANPA_PROMO","TANPA_PROMO",837000,837000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",478800,473800
"2022-07-13","TANPA_PROMO","TANPA_PROMO",155000,155000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",780000,780000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",101000,96000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",48000,43000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",131120,126120
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",337500,332500
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",17400,12400
"2022-07-13","TANPA_PROMO","TANPA_PROMO",438000,438000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",29600,29600
"2022-07-13","TANPA_PROMO","TANPA_PROMO",79800,79800
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",1350,-3650
"2022-07-13","TANPA_PROMO","TANPA_PROMO",170000,170000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",27887,27887
"2022-07-13","TANPA_PROMO","TANPA_PROMO",581400,581400
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",112000,107000
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",59000,54000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",4874,4874
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",65500,60500
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",139800,134800
"2022-07-13","TANPA_PROMO","TANPA_PROMO",189000,189000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",393360,393360
"2022-07-13","GRATIS_ONGKIR","APPLY_PROMO",370000,365000
"2022-07-13","TANPA_PROMO","TANPA_PROMO",9200,9200
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",3700,-1300
"2022-07-14","TANPA_PROMO","TANPA_PROMO",1439000,1439000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",5097000,5097000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",130000,130000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",44000,44000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",149650,149650
"2022-07-14","TANPA_PROMO","TANPA_PROMO",195000,195000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",20000,15000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",105000,100000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",38850,38850
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",188000,183000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",2025000,2025000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",506250,501250
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",49800,44800
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",399800,394800
"2022-07-14","TANPA_PROMO","TANPA_PROMO",3300,3300
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",43000,38000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",175000,175000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",78000,78000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",73500,68500
"2022-07-14","TANPA_PROMO","TANPA_PROMO",100029,100029
"2022-07-14","TANPA_PROMO","TANPA_PROMO",1000,1000
"2022-07-14","TANPA_PROMO","TANPA_PROMO",1850,1850
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",3380,-1620
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",98750,93750
"2022-07-14","TANPA_PROMO","TANPA_PROMO",25790,25790
"2022-07-14","TANPA_PROMO","TANPA_PROMO",145360,145360
"2022-07-14","TANPA_PROMO","TANPA_PROMO",496500,496500
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",345000,340000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",178000,173000
"2022-07-14","GRATIS_ONGKIR","APPLY_PROMO",299800,294800
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",117000,112000
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",168750,163750
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",390000,385000
"2022-07-15","TANPA_PROMO","TANPA_PROMO",1439000,1439000
"2022-07-15","TANPA_PROMO","TANPA_PROMO",128300,128300
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",51580,46580
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",22900,17900
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",280000,275000
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",112000,107000
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",2920000,2915000
"2022-07-15","GRATIS_ONGKIR","APPLY_PROMO",154500,149500
