"purchase_date","total_price","promo_code","discount","sales_after_promo"
"2022-07-13",17400,"GRATIS_ONGKIR",5000,12400
"2022-07-14",299800,"GRATIS_ONGKIR",5000,294800
"2022-07-25",69000,"GRATIS_ONGKIR",5000,64000
"2022-07-10",22900,"TANPA_PROMO",0,22900
"2022-07-29",180000,"TANPA_PROMO",0,180000
"2022-07-13",4874,"TANPA_PROMO",0,4874
"2022-07-28",149900,"GRATIS_ONGKIR",5000,144900
"2022-07-07",195000,"TANPA_PROMO",0,195000
"2022-07-07",30000,"TANPA_PROMO",0,30000
"2022-07-09",345000,"TANPA_PROMO",0,345000
"2022-07-12",125100,"TANPA_PROMO",0,125100
"2022-07-17",405000,"GRATIS_ONGKIR",5000,400000
"2022-07-26",672000,"GRATIS_ONGKIR",5000,667000
"2022-07-18",125000,"GRATIS_ONGKIR",5000,120000
"2022-07-28",89700,"GRATIS_ONGKIR",5000,84700
"2022-07-06",69642,"GRATIS_ONGKIR",5000,64642
"2022-07-02",27600,"GRATIS_ONGKIR",5000,22600
"2022-07-21",106000,"TANPA_PROMO",0,106000
"2022-07-21",239400,"GRATIS_ONGKIR",5000,234400
"2022-07-26",26750,"TANPA_PROMO",0,26750
"2022-07-05",1415000,"TANPA_PROMO",0,1415000
"2022-07-30",106000,"TANPA_PROMO",0,106000
"2022-07-16",181500,"GRATIS_ONGKIR",5000,176500
"2022-07-08",315000,"TANPA_PROMO",0,315000
"2022-07-20",114000,"GRATIS_ONGKIR",5000,109000
"2022-07-17",89000,"GRATIS_ONGKIR",5000,84000
"2022-07-01",100029,"AWAL_GAJIAN",15000,85029
"2022-07-25",50520,"TANPA_PROMO",0,50520
"2022-07-01",159000,"GRATIS_ONGKIR",5000,154000
"2022-07-29",507000,"GRATIS_ONGKIR",5000,502000
"2022-07-25",718200,"TANPA_PROMO",0,718200
"2022-07-12",155000,"TANPA_PROMO",0,155000
"2022-07-21",145000,"GRATIS_ONGKIR",5000,140000
"2022-07-08",145000,"TANPA_PROMO",0,145000
"2022-07-12",110000,"TANPA_PROMO",0,110000
"2022-07-03",128000,"TANPA_PROMO",0,128000
"2022-07-25",360000,"GRATIS_ONGKIR",5000,355000
"2022-07-04",3340,"GRATIS_ONGKIR",5000,-1660
"2022-07-08",59700,"TANPA_PROMO",0,59700
"2022-07-30",106500,"TANPA_PROMO",0,106500
"2022-07-09",693000,"TANPA_PROMO",0,693000
"2022-07-29",347997,"GRATIS_ONGKIR",5000,342997
"2022-07-11",113970,"TANPA_PROMO",0,113970
"2022-07-25",74700,"TANPA_PROMO",0,74700
"2022-07-13",59000,"GRATIS_ONGKIR",5000,54000
"2022-07-26",149900,"TANPA_PROMO",0,149900
"2022-07-19",98750,"TANPA_PROMO",0,98750
"2022-07-21",712500,"TANPA_PROMO",0,712500
"2022-07-03",60000,"TANPA_PROMO",0,60000
"2022-07-10",415000,"GRATIS_ONGKIR",5000,410000
"2022-07-15",1439000,"TANPA_PROMO",0,1439000
"2022-07-12",159000,"GRATIS_ONGKIR",5000,154000
"2022-07-24",550000,"GRATIS_ONGKIR",5000,545000
"2022-07-05",292500,"TANPA_PROMO",0,292500
"2022-07-12",1125000,"TANPA_PROMO",0,1125000
"2022-07-18",290000,"TANPA_PROMO",0,290000
"2022-07-13",79800,"TANPA_PROMO",0,79800
"2022-07-01",154440,"GRATIS_ONGKIR",5000,149440
"2022-07-11",808275,"GRATIS_ONGKIR",5000,803275
"2022-07-06",25260,"GRATIS_ONGKIR",5000,20260
"2022-07-22",318000,"GRATIS_ONGKIR",5000,313000
"2022-07-25",26888,"GRATIS_ONGKIR",5000,21888
"2022-07-25",53000,"TANPA_PROMO",0,53000
"2022-07-03",19500,"TANPA_PROMO",0,19500
"2022-07-10",348750,"TANPA_PROMO",0,348750
"2022-07-16",253935,"TANPA_PROMO",0,253935
"2022-07-02",215100,"TANPA_PROMO",0,215100
"2022-07-03",310000,"TANPA_PROMO",0,310000
"2022-07-23",255000,"TANPA_PROMO",0,255000
"2022-07-03",370000,"GRATIS_ONGKIR",5000,365000
"2022-07-01",189000,"TANPA_PROMO",0,189000
"2022-07-15",128300,"TANPA_PROMO",0,128300
"2022-07-13",131120,"GRATIS_ONGKIR",5000,126120
"2022-07-11",78002,"TANPA_PROMO",0,78002
"2022-07-21",195000,"TANPA_PROMO",0,195000
"2022-07-27",53000,"GRATIS_ONGKIR",5000,48000
"2022-07-21",97500,"TANPA_PROMO",0,97500
"2022-07-09",169000,"GRATIS_ONGKIR",5000,164000
"2022-07-26",270580,"GRATIS_ONGKIR",5000,265580
"2022-07-10",156000,"GRATIS_ONGKIR",5000,151000
"2022-07-17",156000,"TANPA_PROMO",0,156000
"2022-07-02",119900,"TANPA_PROMO",0,119900
"2022-07-25",62400,"GRATIS_ONGKIR",5000,57400
"2022-07-13",189000,"TANPA_PROMO",0,189000
"2022-07-30",260000,"TANPA_PROMO",0,260000
"2022-07-15",51580,"GRATIS_ONGKIR",5000,46580
"2022-07-29",267000,"GRATIS_ONGKIR",5000,262000
"2022-07-01",104000,"GRATIS_ONGKIR",5000,99000
"2022-07-09",278500,"TANPA_PROMO",0,278500
"2022-07-14",178000,"GRATIS_ONGKIR",5000,173000
"2022-07-11",175000,"TANPA_PROMO",0,175000
"2022-07-23",205000,"GRATIS_ONGKIR",5000,200000
"2022-07-07",260000,"TANPA_PROMO",0,260000
"2022-07-25",99900,"TANPA_PROMO",0,99900
"2022-07-30",195000,"TANPA_PROMO",0,195000
"2022-07-02",69000,"GRATIS_ONGKIR",5000,64000
"2022-07-01",14997000,"AWAL_GAJIAN",15000,14982000
"2022-07-04",1050,"GRATIS_ONGKIR",5000,-3950
"2022-07-13",170000,"TANPA_PROMO",0,170000
"2022-07-14",145360,"TANPA_PROMO",0,145360
"2022-07-21",217500,"GRATIS_ONGKIR",5000,212500
"2022-07-04",130000,"GRATIS_ONGKIR",5000,125000
"2022-07-10",100000,"TANPA_PROMO",0,100000
"2022-07-07",99000,"GRATIS_ONGKIR",5000,94000
"2022-07-04",2380,"TANPA_PROMO",0,2380
"2022-07-16",462000,"GRATIS_ONGKIR",5000,457000
"2022-07-09",3700,"TANPA_PROMO",0,3700
"2022-07-13",337500,"GRATIS_ONGKIR",5000,332500
"2022-07-16",506250,"TANPA_PROMO",0,506250
"2022-07-21",555000,"TANPA_PROMO",0,555000
"2022-07-08",338000,"GRATIS_ONGKIR",5000,333000
"2022-07-02",25866,"TANPA_PROMO",0,25866
"2022-07-07",55000,"TANPA_PROMO",0,55000
"2022-07-14",496500,"TANPA_PROMO",0,496500
"2022-07-25",209700,"TANPA_PROMO",0,209700
"2022-07-17",330000,"TANPA_PROMO",0,330000
"2022-07-19",198000,"GRATIS_ONGKIR",5000,193000
"2022-07-11",81000,"TANPA_PROMO",0,81000
"2022-07-26",591700,"GRATIS_ONGKIR",5000,586700
"2022-07-12",110925,"TANPA_PROMO",0,110925
"2022-07-10",534966,"TANPA_PROMO",0,534966
"2022-07-07",129500,"GRATIS_ONGKIR",5000,124500
"2022-07-14",98750,"GRATIS_ONGKIR",5000,93750
"2022-07-25",193988,"TANPA_PROMO",0,193988
"2022-07-20",113800,"TANPA_PROMO",0,113800
"2022-07-02",39000,"GRATIS_ONGKIR",5000,34000
"2022-07-18",1437000,"GRATIS_ONGKIR",5000,1432000
"2022-07-15",22900,"GRATIS_ONGKIR",5000,17900
"2022-07-25",151500,"GRATIS_ONGKIR",5000,146500
"2022-07-30",550000,"TANPA_PROMO",0,550000
"2022-07-21",130000,"GRATIS_ONGKIR",5000,125000
"2022-07-20",50520,"GRATIS_ONGKIR",5000,45520
"2022-07-17",69600,"TANPA_PROMO",0,69600
"2022-07-15",280000,"GRATIS_ONGKIR",5000,275000
"2022-07-20",199998,"TANPA_PROMO",0,199998
"2022-07-18",393360,"GRATIS_ONGKIR",5000,388360
"2022-07-28",399800,"TANPA_PROMO",0,399800
"2022-07-11",569700,"GRATIS_ONGKIR",5000,564700
"2022-07-30",76000,"TANPA_PROMO",0,76000
"2022-07-18",125000,"GRATIS_ONGKIR",5000,120000
"2022-07-27",1575,"GRATIS_ONGKIR",5000,-3425
"2022-07-02",338000,"GRATIS_ONGKIR",5000,333000
"2022-07-05",269000,"TANPA_PROMO",0,269000
"2022-07-16",68888,"TANPA_PROMO",0,68888
"2022-07-23",150000,"GRATIS_ONGKIR",5000,145000
"2022-07-16",506250,"TANPA_PROMO",0,506250
"2022-07-14",73500,"GRATIS_ONGKIR",5000,68500
"2022-07-18",825000,"TANPA_PROMO",0,825000
"2022-07-10",64000,"GRATIS_ONGKIR",5000,59000
"2022-07-06",157500,"GRATIS_ONGKIR",5000,152500
"2022-07-13",837000,"TANPA_PROMO",0,837000
"2022-07-12",35200,"GRATIS_ONGKIR",5000,30200
"2022-07-18",128040,"GRATIS_ONGKIR",5000,123040
"2022-07-05",100000,"TANPA_PROMO",0,100000
"2022-07-14",399800,"GRATIS_ONGKIR",5000,394800
"2022-07-25",2694000,"TANPA_PROMO",0,2694000
"2022-07-12",471750,"GRATIS_ONGKIR",5000,466750
"2022-07-10",208000,"GRATIS_ONGKIR",5000,203000
"2022-07-25",10650000,"TANPA_PROMO",0,10650000
"2022-07-02",101000,"TANPA_PROMO",0,101000
"2022-07-20",538000,"TANPA_PROMO",0,538000
"2022-07-22",139000,"TANPA_PROMO",0,139000
"2022-07-24",99000,"GRATIS_ONGKIR",5000,94000
"2022-07-28",1320000,"GRATIS_ONGKIR",5000,1315000
"2022-07-23",69900,"GRATIS_ONGKIR",5000,64900
"2022-07-23",55365,"TANPA_PROMO",0,55365
"2022-07-14",195000,"TANPA_PROMO",0,195000
"2022-07-17",179000,"TANPA_PROMO",0,179000
"2022-07-07",296907,"GRATIS_ONGKIR",5000,291907
"2022-07-27",310000,"TANPA_PROMO",0,310000
"2022-07-04",194700,"TANPA_PROMO",0,194700
"2022-07-22",150000,"GRATIS_ONGKIR",5000,145000
"2022-07-18",58000,"TANPA_PROMO",0,58000
"2022-07-19",228000,"TANPA_PROMO",0,228000
"2022-07-10",8760000,"TANPA_PROMO",0,8760000
"2022-07-17",86000,"GRATIS_ONGKIR",5000,81000
"2022-07-23",79950,"TANPA_PROMO",0,79950
"2022-07-11",135290,"GRATIS_ONGKIR",5000,130290
"2022-07-17",178000,"GRATIS_ONGKIR",5000,173000
"2022-07-14",130000,"TANPA_PROMO",0,130000
"2022-07-14",5097000,"TANPA_PROMO",0,5097000
"2022-07-09",265500,"TANPA_PROMO",0,265500
"2022-07-15",112000,"GRATIS_ONGKIR",5000,107000
"2022-07-26",224000,"TANPA_PROMO",0,224000
"2022-07-13",50000,"TANPA_PROMO",0,50000
"2022-07-30",70800,"TANPA_PROMO",0,70800
"2022-07-12",39900,"TANPA_PROMO",0,39900
"2022-07-30",2000,"TANPA_PROMO",0,2000
"2022-07-05",159800,"GRATIS_ONGKIR",5000,154800
"2022-07-22",66000,"GRATIS_ONGKIR",5000,61000
"2022-07-11",157500,"GRATIS_ONGKIR",5000,152500
"2022-07-26",110000,"GRATIS_ONGKIR",5000,105000
"2022-07-07",75000,"GRATIS_ONGKIR",5000,70000
"2022-07-19",169500,"TANPA_PROMO",0,169500
"2022-07-30",43000,"TANPA_PROMO",0,43000
"2022-07-17",578700,"TANPA_PROMO",0,578700
"2022-07-30",2250000,"GRATIS_ONGKIR",5000,2245000
"2022-07-29",478800,"GRATIS_ONGKIR",5000,473800
"2022-07-03",1670,"GRATIS_ONGKIR",5000,-3330
"2022-07-09",35000,"TANPA_PROMO",0,35000
"2022-07-01",315000,"AWAL_GAJIAN",15000,300000
"2022-07-07",91800,"TANPA_PROMO",0,91800
"2022-07-13",393360,"TANPA_PROMO",0,393360
"2022-07-24",76800,"GRATIS_ONGKIR",5000,71800
"2022-07-30",48450,"GRATIS_ONGKIR",5000,43450
"2022-07-09",389700,"TANPA_PROMO",0,389700
"2022-07-30",1439000,"TANPA_PROMO",0,1439000
"2022-07-04",555000,"GRATIS_ONGKIR",5000,550000
"2022-07-28",113970,"TANPA_PROMO",0,113970
"2022-07-19",145360,"TANPA_PROMO",0,145360
"2022-07-09",30999,"GRATIS_ONGKIR",5000,25999
"2022-07-29",499000,"TANPA_PROMO",0,499000
"2022-07-14",38850,"TANPA_PROMO",0,38850
"2022-07-16",64150,"TANPA_PROMO",0,64150
"2022-07-18",47888,"TANPA_PROMO",0,47888
"2022-07-22",465000,"GRATIS_ONGKIR",5000,460000
"2022-07-19",270000,"TANPA_PROMO",0,270000
"2022-07-16",22500,"TANPA_PROMO",0,22500
"2022-07-21",498000,"TANPA_PROMO",0,498000
"2022-07-15",2920000,"GRATIS_ONGKIR",5000,2915000
"2022-07-14",49800,"GRATIS_ONGKIR",5000,44800
"2022-07-07",231750,"GRATIS_ONGKIR",5000,226750
"2022-07-21",107728,"GRATIS_ONGKIR",5000,102728
"2022-07-04",253935,"GRATIS_ONGKIR",5000,248935
"2022-07-17",207000,"TANPA_PROMO",0,207000
"2022-07-26",5491530,"GRATIS_ONGKIR",5000,5486530
"2022-07-06",179997,"GRATIS_ONGKIR",5000,174997
"2022-07-08",435998,"TANPA_PROMO",0,435998
"2022-07-20",90000,"TANPA_PROMO",0,90000
"2022-07-30",258540,"TANPA_PROMO",0,258540
"2022-07-17",70000,"GRATIS_ONGKIR",5000,65000
"2022-07-03",90000,"TANPA_PROMO",0,90000
"2022-07-10",290000,"TANPA_PROMO",0,290000
"2022-07-13",370000,"GRATIS_ONGKIR",5000,365000
"2022-07-15",154500,"GRATIS_ONGKIR",5000,149500
"2022-07-08",747000,"TANPA_PROMO",0,747000
"2022-07-10",94500,"GRATIS_ONGKIR",5000,89500
"2022-07-07",145360,"GRATIS_ONGKIR",5000,140360
"2022-07-02",46400,"GRATIS_ONGKIR",5000,41400
"2022-07-04",260000,"TANPA_PROMO",0,260000
"2022-07-08",550000,"GRATIS_ONGKIR",5000,545000
"2022-07-19",345000,"TANPA_PROMO",0,345000
"2022-07-09",290982,"GRATIS_ONGKIR",5000,285982
"2022-07-25",40500,"TANPA_PROMO",0,40500
"2022-07-14",44000,"TANPA_PROMO",0,44000
"2022-07-19",39800,"GRATIS_ONGKIR",5000,34800
"2022-07-25",465000,"GRATIS_ONGKIR",5000,460000
"2022-07-16",110000,"GRATIS_ONGKIR",5000,105000
"2022-07-21",300000,"GRATIS_ONGKIR",5000,295000
"2022-07-01",144000,"GRATIS_ONGKIR",5000,139000
"2022-07-10",750000,"GRATIS_ONGKIR",5000,745000
"2022-07-01",9998000,"GRATIS_ONGKIR",5000,9993000
"2022-07-11",186000,"GRATIS_ONGKIR",5000,181000
"2022-07-26",76000,"TANPA_PROMO",0,76000
"2022-07-08",111100,"TANPA_PROMO",0,111100
"2022-07-05",72000,"TANPA_PROMO",0,72000
"2022-07-25",240000,"GRATIS_ONGKIR",5000,235000
"2022-07-20",220000,"GRATIS_ONGKIR",5000,215000
"2022-07-05",384000,"TANPA_PROMO",0,384000
"2022-07-23",525,"GRATIS_ONGKIR",5000,-4475
"2022-07-17",1350,"GRATIS_ONGKIR",5000,-3650
"2022-07-09",1670,"TANPA_PROMO",0,1670
"2022-07-10",2800,"TANPA_PROMO",0,2800
"2022-07-27",130000,"TANPA_PROMO",0,130000
"2022-07-01",231000,"AWAL_GAJIAN",15000,216000
"2022-07-24",1058000,"GRATIS_ONGKIR",5000,1053000
"2022-07-22",88000,"TANPA_PROMO",0,88000
"2022-07-08",121000,"TANPA_PROMO",0,121000
"2022-07-09",56900,"GRATIS_ONGKIR",5000,51900
"2022-07-27",192060,"GRATIS_ONGKIR",5000,187060
"2022-07-23",70000,"TANPA_PROMO",0,70000
"2022-07-10",39800,"TANPA_PROMO",0,39800
"2022-07-03",66900,"TANPA_PROMO",0,66900
"2022-07-08",75999,"TANPA_PROMO",0,75999
"2022-07-14",506250,"GRATIS_ONGKIR",5000,501250
"2022-07-02",229000,"TANPA_PROMO",0,229000
"2022-07-28",197500,"GRATIS_ONGKIR",5000,192500
"2022-07-15",680000,"GRATIS_ONGKIR",5000,675000
"2022-07-12",220000,"TANPA_PROMO",0,220000
"2022-07-20",4545000,"TANPA_PROMO",0,4545000
"2022-07-29",162360,"GRATIS_ONGKIR",5000,157360
"2022-07-18",74000,"GRATIS_ONGKIR",5000,69000
"2022-07-23",53500,"TANPA_PROMO",0,53500
"2022-07-05",164700,"GRATIS_ONGKIR",5000,159700
"2022-07-25",63000,"GRATIS_ONGKIR",5000,58000
"2022-07-25",285000,"GRATIS_ONGKIR",5000,280000
"2022-07-11",110000,"GRATIS_ONGKIR",5000,105000
"2022-07-22",159000,"GRATIS_ONGKIR",5000,154000
"2022-07-05",75999,"TANPA_PROMO",0,75999
"2022-07-28",109000,"TANPA_PROMO",0,109000
"2022-07-21",149900,"TANPA_PROMO",0,149900
"2022-07-13",101000,"GRATIS_ONGKIR",5000,96000
"2022-07-12",537000,"TANPA_PROMO",0,537000
"2022-07-07",35200,"TANPA_PROMO",0,35200
"2022-07-09",260000,"TANPA_PROMO",0,260000
"2022-07-11",387600,"GRATIS_ONGKIR",5000,382600
"2022-07-23",435000,"GRATIS_ONGKIR",5000,430000
"2022-07-07",198000,"GRATIS_ONGKIR",5000,193000
"2022-07-19",197500,"TANPA_PROMO",0,197500
"2022-07-28",17500,"TANPA_PROMO",0,17500
"2022-07-20",54000,"TANPA_PROMO",0,54000
"2022-07-21",47900,"TANPA_PROMO",0,47900
"2022-07-01",79900,"TANPA_PROMO",0,79900
"2022-07-30",72500,"TANPA_PROMO",0,72500
"2022-07-01",387810,"AWAL_GAJIAN",15000,372810
"2022-07-12",300000,"GRATIS_ONGKIR",5000,295000
"2022-07-20",299999,"TANPA_PROMO",0,299999
"2022-07-07",49875,"TANPA_PROMO",0,49875
"2022-07-25",48000,"GRATIS_ONGKIR",5000,43000
"2022-07-23",285000,"TANPA_PROMO",0,285000
"2022-07-24",200000,"TANPA_PROMO",0,200000
"2022-07-16",260000,"TANPA_PROMO",0,260000
"2022-07-06",4977000,"GRATIS_ONGKIR",5000,4972000
"2022-07-26",1497000,"GRATIS_ONGKIR",5000,1492000
"2022-07-08",326250,"TANPA_PROMO",0,326250
"2022-07-14",3700,"GRATIS_ONGKIR",5000,-1300
"2022-07-02",420000,"GRATIS_ONGKIR",5000,415000
"2022-07-09",3980000,"GRATIS_ONGKIR",5000,3975000
"2022-07-26",59900,"GRATIS_ONGKIR",5000,54900
"2022-07-13",260000,"TANPA_PROMO",0,260000
"2022-07-19",507000,"GRATIS_ONGKIR",5000,502000
"2022-07-27",219000,"TANPA_PROMO",0,219000
"2022-07-09",716000,"GRATIS_ONGKIR",5000,711000
"2022-07-17",3700,"TANPA_PROMO",0,3700
"2022-07-17",129900,"GRATIS_ONGKIR",5000,124900
"2022-07-02",38000,"GRATIS_ONGKIR",5000,33000
"2022-07-15",18400,"TANPA_PROMO",0,18400
"2022-07-28",33000,"GRATIS_ONGKIR",5000,28000
"2022-07-26",109000,"GRATIS_ONGKIR",5000,104000
"2022-07-05",13135,"GRATIS_ONGKIR",5000,8135
"2022-07-21",150000,"TANPA_PROMO",0,150000
"2022-07-05",110000,"GRATIS_ONGKIR",5000,105000
"2022-07-17",958000,"GRATIS_ONGKIR",5000,953000
"2022-07-03",1245000,"GRATIS_ONGKIR",5000,1240000
"2022-07-06",55550,"TANPA_PROMO",0,55550
"2022-07-12",399998,"GRATIS_ONGKIR",5000,394998
"2022-07-28",578700,"GRATIS_ONGKIR",5000,573700
"2022-07-22",225000,"GRATIS_ONGKIR",5000,220000
"2022-07-17",199900,"GRATIS_ONGKIR",5000,194900
"2022-07-22",318000,"GRATIS_ONGKIR",5000,313000
"2022-07-29",187960,"GRATIS_ONGKIR",5000,182960
"2022-07-13",65000,"TANPA_PROMO",0,65000
"2022-07-21",50000,"GRATIS_ONGKIR",5000,45000
"2022-07-21",69000,"TANPA_PROMO",0,69000
"2022-07-01",185000,"TANPA_PROMO",0,185000
"2022-07-08",26000,"GRATIS_ONGKIR",5000,21000
"2022-07-07",55365,"GRATIS_ONGKIR",5000,50365
"2022-07-13",1350,"GRATIS_ONGKIR",5000,-3650
"2022-07-06",237000,"GRATIS_ONGKIR",5000,232000
"2022-07-15",62000,"GRATIS_ONGKIR",5000,57000
"2022-07-02",88920,"TANPA_PROMO",0,88920
"2022-07-12",239850,"GRATIS_ONGKIR",5000,234850
"2022-07-13",48000,"GRATIS_ONGKIR",5000,43000
"2022-07-22",200000,"TANPA_PROMO",0,200000
"2022-07-28",48450,"GRATIS_ONGKIR",5000,43450
"2022-07-19",297000,"TANPA_PROMO",0,297000
"2022-07-11",165000,"TANPA_PROMO",0,165000
"2022-07-14",25790,"TANPA_PROMO",0,25790
"2022-07-19",37500,"GRATIS_ONGKIR",5000,32500
"2022-07-20",1990000,"TANPA_PROMO",0,1990000
"2022-07-25",22500,"GRATIS_ONGKIR",5000,17500
"2022-07-24",54815,"GRATIS_ONGKIR",5000,49815
"2022-07-21",411000,"TANPA_PROMO",0,411000
"2022-07-29",718200,"TANPA_PROMO",0,718200
"2022-07-02",199000,"GRATIS_ONGKIR",5000,194000
"2022-07-11",227700,"GRATIS_ONGKIR",5000,222700
"2022-07-25",84000,"GRATIS_ONGKIR",5000,79000
"2022-07-09",78000,"TANPA_PROMO",0,78000
"2022-07-15",60000,"GRATIS_ONGKIR",5000,55000
"2022-07-24",275000,"GRATIS_ONGKIR",5000,270000
"2022-07-27",260000,"GRATIS_ONGKIR",5000,255000
"2022-07-18",130000,"TANPA_PROMO",0,130000
"2022-07-22",24250,"GRATIS_ONGKIR",5000,19250
"2022-07-28",320000,"GRATIS_ONGKIR",5000,315000
"2022-07-29",99000,"TANPA_PROMO",0,99000
"2022-07-20",156000,"GRATIS_ONGKIR",5000,151000
"2022-07-24",51200,"GRATIS_ONGKIR",5000,46200
"2022-07-28",1587000,"GRATIS_ONGKIR",5000,1582000
"2022-07-27",39900,"TANPA_PROMO",0,39900
"2022-07-08",300000,"GRATIS_ONGKIR",5000,295000
"2022-07-29",397500,"GRATIS_ONGKIR",5000,392500
"2022-07-28",155000,"TANPA_PROMO",0,155000
"2022-07-24",165500,"GRATIS_ONGKIR",5000,160500
"2022-07-25",166500,"TANPA_PROMO",0,166500
"2022-07-26",54900,"GRATIS_ONGKIR",5000,49900
"2022-07-09",300000,"TANPA_PROMO",0,300000
"2022-07-29",3550000,"GRATIS_ONGKIR",5000,3545000
"2022-07-11",39800,"GRATIS_ONGKIR",5000,34800
"2022-07-22",59900,"GRATIS_ONGKIR",5000,54900
"2022-07-15",110997,"TANPA_PROMO",0,110997
"2022-07-05",85000,"TANPA_PROMO",0,85000
"2022-07-07",650000,"GRATIS_ONGKIR",5000,645000
"2022-07-22",318000,"TANPA_PROMO",0,318000
"2022-07-02",36800,"TANPA_PROMO",0,36800
"2022-07-12",1415000,"GRATIS_ONGKIR",5000,1410000
"2022-07-13",65500,"GRATIS_ONGKIR",5000,60500
"2022-07-11",23214,"TANPA_PROMO",0,23214
"2022-07-15",105600,"TANPA_PROMO",0,105600
"2022-07-06",267000,"TANPA_PROMO",0,267000
"2022-07-23",4950060,"GRATIS_ONGKIR",5000,4945060
